Tue Aug 11 14:42:19 2020:NOTICE:printLogHeader: hector version 2.5.0
Tue Aug 11 14:42:19 2020:DEBUG:init: hello bc
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1765]=0
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1766]=0.106998
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1767]=0.1333826
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1768]=0.15984677
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1769]=0.18639296
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1770]=0.21302373
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1771]=0.23974168
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1772]=0.26654951
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1773]=0.29345
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1774]=0.32044601
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1775]=0.34754051
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1776]=0.37473653
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1777]=0.40203721
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1778]=0.4294458
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1779]=0.45696563
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1780]=0.48460014
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1781]=0.51235288
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1782]=0.5402275
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1783]=0.56822778
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1784]=0.59635759
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1785]=0.62462095
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1786]=0.65302198
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1787]=0.68156496
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1788]=0.71025425
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1789]=0.73909439
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1790]=0.76809005
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1791]=0.79724604
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1792]=0.8265673
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1793]=0.85605896
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1794]=0.88572629
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1795]=0.91557471
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1796]=0.94560984
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1797]=0.97583743
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1798]=1.0062635
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1799]=1.036894
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1800]=1.0677355
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1801]=1.0987944
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1802]=1.1300774
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1803]=1.1615915
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1804]=1.1933438
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1805]=1.2253417
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1806]=1.2575928
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1807]=1.2901048
