Tue Aug 11 14:42:19 2020:NOTICE:printLogHeader: hector version 2.5.0
Tue Aug 11 14:42:19 2020:DEBUG:init: hello oc
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1765]=0
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1766]=0.56591996
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1767]=0.78146771
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1768]=0.99736131
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1769]=1.2136114
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1770]=1.4302291
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1771]=1.6472257
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1772]=1.864613
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1773]=2.082403
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1774]=2.3006082
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1775]=2.5192414
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1776]=2.7383159
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1777]=2.9578452
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1778]=3.1778436
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1779]=3.3983254
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1780]=3.6193057
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1781]=3.8407999
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1782]=4.0628238
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1783]=4.2853938
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1784]=4.5085268
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1785]=4.7322403
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1786]=4.9565522
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1787]=5.1814809
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1788]=5.4070456
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1789]=5.633266
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1790]=5.8601623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1791]=6.0877554
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1792]=6.3160669
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1793]=6.5451189
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1794]=6.7749345
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1795]=7.0055372
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1796]=7.2369513
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1797]=7.469202
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1798]=7.7023151
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1799]=7.9363173
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1800]=8.1712361
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1801]=8.4070999
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1802]=8.6439378
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1803]=8.88178
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1804]=9.1206576
