Tue Aug 11 14:42:19 2020:NOTICE:printLogHeader: hector version 2.5.0
Tue Aug 11 14:42:19 2020:DEBUG:init: hello ozone
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting PO3[-1]=30.0
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1765]=0
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1766]=0.10950162
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1767]=0.16803826
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1768]=0.2266252
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1769]=0.28526401
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1770]=0.34395628
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1771]=0.40270367
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1772]=0.46150789
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1773]=0.52037068
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1774]=0.57929387
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1775]=0.63827932
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1776]=0.69732895
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1777]=0.75644476
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1778]=0.81562878
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1779]=0.87488313
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1780]=0.93420999
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1781]=0.99361159
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1782]=1.0530902
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1783]=1.1126483
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1784]=1.1722883
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1785]=1.2320128
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1786]=1.2918242
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1787]=1.3517254
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1788]=1.4117191
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1789]=1.4718082
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1790]=1.5319956
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1791]=1.5922843
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1792]=1.6526776
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1793]=1.7131785
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1794]=1.7737906
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1795]=1.8345171
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1796]=1.8953617
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1797]=1.9563279
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1798]=2.0174196
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1799]=2.0786406
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1800]=2.1399949
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1801]=2.2014867
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1802]=2.2631202
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1803]=2.3248998
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1804]=2.38683
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1805]=2.4489154
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1806]=2.511161
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1807]=2.5735715
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1808]=2.6361521
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1809]=2.6989081
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1810]=2.7618449
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1811]=2.8249681
