Tue Aug 11 14:42:19 2020:NOTICE:printLogHeader: hector version 2.5.0
Tue Aug 11 14:42:19 2020:DEBUG:init: hello so2
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting S0[-1]=53841.2
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SN[-1]=42000
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1765]=0
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1766]=98.882647
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1767]=116.3065
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1768]=133.81075
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1769]=151.39789
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1770]=169.07049
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1771]=186.83119
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1772]=204.68271
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1773]=222.62786
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1774]=240.66954
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1775]=258.81073
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1776]=277.05451
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1777]=295.40406
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1778]=313.86264
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1779]=332.43362
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1780]=351.12049
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1781]=369.92683
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1782]=388.85633
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1783]=407.9128
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1784]=427.10016
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1785]=446.42248
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1786]=465.88391
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1787]=485.48877
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1788]=505.24148
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1789]=525.14663
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1790]=545.20892
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1791]=565.43322
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1792]=585.82453
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1793]=606.38803
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1794]=627.12904
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1795]=648.05304
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1796]=669.16569
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1797]=690.47284
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1798]=711.9805
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1799]=733.69486
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1800]=755.62233
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1801]=777.76949
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1802]=800.14313
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1803]=822.75026
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1804]=845.59811
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1805]=868.69411
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1806]=892.04595
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1807]=915.66153
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1808]=939.54901
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1809]=963.7168
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1810]=988.17358
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1811]=1012.9283
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1812]=1037.9901
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1813]=1063.3685
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1814]=1089.0734
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1815]=1115.1148
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1816]=1141.5031
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1817]=1168.2491
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1818]=1195.3638
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1819]=1222.8586
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1820]=1250.7453
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1821]=1279.036
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1822]=1307.7432
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1823]=1336.8798
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1824]=1366.459
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1825]=1396.4945
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1826]=1427.0005
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1827]=1457.9916
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1828]=1489.4826
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1829]=1521.4891
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1830]=1554.027
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1831]=1587.1128
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1832]=1620.7633
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1833]=1654.9962
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1834]=1689.8292
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1835]=1725.2812
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1836]=1761.3711
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1837]=1798.1187
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1838]=1835.5443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1839]=1873.669
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1840]=1912.5143
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1841]=1952.1025
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1842]=1992.4567
