"","Ensemble","Model","Data","Time","Temp"
"1","r1i1p1f1","ACCESS-CM2","Land",181.25,281.051605224609
"2","r1i1p1f1","ACCESS-CM2","Land",546.25,281.04443359375
"3","r1i1p1f1","ACCESS-CM2","Land",912.25,281.18994140625
"4","r1i1p1f1","ACCESS-CM2","Land",1277.25,281.025512695312
"5","r1i1p1f1","ACCESS-CM2","Land",1642.25,281.301574707031
"6","r1i1p1f1","ACCESS-CM2","Land",2007.25,280.894226074219
"7","r1i1p1f1","ACCESS-CM2","Land",2373.25,280.829711914062
"8","r1i1p1f1","ACCESS-CM2","Land",2738.25,280.9853515625
"9","r1i1p1f1","ACCESS-CM2","Land",3103.25,280.872375488281
"10","r1i1p1f1","ACCESS-CM2","Land",3468.25,281.026336669922
"11","r1i1p1f1","ACCESS-CM2","Land",3834.25,281.115325927734
"12","r1i1p1f1","ACCESS-CM2","Land",4199.25,280.831359863281
"13","r1i1p1f1","ACCESS-CM2","Land",4564.25,280.843139648438
"14","r1i1p1f1","ACCESS-CM2","Land",4929.25,280.718658447266
"15","r1i1p1f1","ACCESS-CM2","Land",5295.25,280.974334716797
"16","r1i1p1f1","ACCESS-CM2","Land",5660.25,280.882598876953
"17","r1i1p1f1","ACCESS-CM2","Land",6025.25,280.780548095703
"18","r1i1p1f1","ACCESS-CM2","Land",6390.25,281.052581787109
"19","r1i1p1f1","ACCESS-CM2","Land",6756.25,280.768951416016
"20","r1i1p1f1","ACCESS-CM2","Land",7121.25,280.885101318359
"21","r1i1p1f1","ACCESS-CM2","Land",7486.25,280.822143554688
"22","r1i1p1f1","ACCESS-CM2","Land",7851.25,280.833801269531
"23","r1i1p1f1","ACCESS-CM2","Land",8217.25,281.173461914062
"24","r1i1p1f1","ACCESS-CM2","Land",8582.25,280.708465576172
"25","r1i1p1f1","ACCESS-CM2","Land",8947.25,281.10693359375
"26","r1i1p1f1","ACCESS-CM2","Land",9312.25,280.930847167969
"27","r1i1p1f1","ACCESS-CM2","Land",9678.25,280.840423583984
"28","r1i1p1f1","ACCESS-CM2","Land",10043.25,281.029510498047
"29","r1i1p1f1","ACCESS-CM2","Land",10408.25,280.885467529297
"30","r1i1p1f1","ACCESS-CM2","Land",10773.25,280.815032958984
"31","r1i1p1f1","ACCESS-CM2","Land",11139.25,280.873901367188
"32","r1i1p1f1","ACCESS-CM2","Land",11504.25,280.776672363281
"33","r1i1p1f1","ACCESS-CM2","Land",11869.25,280.856109619141
"34","r1i1p1f1","ACCESS-CM2","Land",12234.25,280.765106201172
"35","r1i1p1f1","ACCESS-CM2","Land",12600.25,280.247741699219
"36","r1i1p1f1","ACCESS-CM2","Land",12965.25,280.422180175781
"37","r1i1p1f1","ACCESS-CM2","Land",13330.25,280.410034179688
"38","r1i1p1f1","ACCESS-CM2","Land",13695.25,280.650909423828
"39","r1i1p1f1","ACCESS-CM2","Land",14061.25,280.611297607422
"40","r1i1p1f1","ACCESS-CM2","Land",14426.25,280.667755126953
"41","r1i1p1f1","ACCESS-CM2","Land",14791.25,280.631622314453
"42","r1i1p1f1","ACCESS-CM2","Land",15156.25,280.648651123047
"43","r1i1p1f1","ACCESS-CM2","Land",15522.25,280.534454345703
"44","r1i1p1f1","ACCESS-CM2","Land",15887.25,280.762756347656
"45","r1i1p1f1","ACCESS-CM2","Land",16252.25,280.897247314453
"46","r1i1p1f1","ACCESS-CM2","Land",16617.25,280.887664794922
